REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKARGXX,31.536
GLOBAL,PWRBCKBOLXX,31.536
GLOBAL,PWRBCKBRACN,31.536
GLOBAL,PWRBCKBRACW,31.536
GLOBAL,PWRBCKBRANE,31.536
GLOBAL,PWRBCKBRANW,31.536
GLOBAL,PWRBCKBRASE,31.536
GLOBAL,PWRBCKBRASO,31.536
GLOBAL,PWRBCKBRAWE,31.536
GLOBAL,PWRBCKCHLXX,31.536
GLOBAL,PWRBCKCOLXX,31.536
GLOBAL,PWRBCKCRIXX,31.536
GLOBAL,PWRBCKDOMXX,31.536
GLOBAL,PWRBCKECUXX,31.536
GLOBAL,PWRBCKGTMXX,31.536
GLOBAL,PWRBCKHNDXX,31.536
GLOBAL,PWRBCKHTIXX,31.536
GLOBAL,PWRBCKJAMXX,31.536
GLOBAL,PWRBCKMEXXX,31.536
GLOBAL,PWRBCKNICXX,31.536
GLOBAL,PWRBCKPANXX,31.536
GLOBAL,PWRBCKPERXX,31.536
GLOBAL,PWRBCKPRYXX,31.536
GLOBAL,PWRBCKSLVXX,31.536
GLOBAL,PWRBCKURYXX,31.536
GLOBAL,PWRBIOARGXX01,31.536
GLOBAL,PWRBIOBOLXX01,31.536
GLOBAL,PWRBIOBRACN01,31.536
GLOBAL,PWRBIOBRACW01,31.536
GLOBAL,PWRBIOBRANE01,31.536
GLOBAL,PWRBIOBRANW01,31.536
GLOBAL,PWRBIOBRASE01,31.536
GLOBAL,PWRBIOBRASO01,31.536
GLOBAL,PWRBIOBRAWE01,31.536
GLOBAL,PWRBIOCHLXX01,31.536
GLOBAL,PWRBIOCOLXX01,31.536
GLOBAL,PWRBIOCRIXX01,31.536
GLOBAL,PWRBIODOMXX01,31.536
GLOBAL,PWRBIOECUXX01,31.536
GLOBAL,PWRBIOGTMXX01,31.536
GLOBAL,PWRBIOHNDXX01,31.536
GLOBAL,PWRBIOHTIXX01,31.536
GLOBAL,PWRBIOJAMXX01,31.536
GLOBAL,PWRBIOMEXXX01,31.536
GLOBAL,PWRBIONICXX01,31.536
GLOBAL,PWRBIOPANXX01,31.536
GLOBAL,PWRBIOPERXX01,31.536
GLOBAL,PWRBIOPRYXX01,31.536
GLOBAL,PWRBIOSLVXX01,31.536
GLOBAL,PWRBIOURYXX01,31.536
GLOBAL,PWRCCGARGXX00,31.536
GLOBAL,PWRCCGARGXX01,31.536
GLOBAL,PWRCCGBOLXX00,31.536
GLOBAL,PWRCCGBOLXX01,31.536
GLOBAL,PWRCCGBRACN00,31.536
GLOBAL,PWRCCGBRACN01,31.536
GLOBAL,PWRCCGBRACW00,31.536
GLOBAL,PWRCCGBRACW01,31.536
GLOBAL,PWRCCGBRANE00,31.536
GLOBAL,PWRCCGBRANE01,31.536
GLOBAL,PWRCCGBRANW00,31.536
GLOBAL,PWRCCGBRANW01,31.536
GLOBAL,PWRCCGBRASE00,31.536
GLOBAL,PWRCCGBRASE01,31.536
GLOBAL,PWRCCGBRASO00,31.536
GLOBAL,PWRCCGBRASO01,31.536
GLOBAL,PWRCCGBRAWE00,31.536
GLOBAL,PWRCCGBRAWE01,31.536
GLOBAL,PWRCCGCHLXX00,31.536
GLOBAL,PWRCCGCHLXX01,31.536
GLOBAL,PWRCCGCOLXX00,31.536
GLOBAL,PWRCCGCOLXX01,31.536
GLOBAL,PWRCCGCRIXX00,31.536
GLOBAL,PWRCCGCRIXX01,31.536
GLOBAL,PWRCCGDOMXX00,31.536
GLOBAL,PWRCCGDOMXX01,31.536
GLOBAL,PWRCCGECUXX00,31.536
GLOBAL,PWRCCGECUXX01,31.536
GLOBAL,PWRCCGGTMXX00,31.536
GLOBAL,PWRCCGGTMXX01,31.536
GLOBAL,PWRCCGHNDXX00,31.536
GLOBAL,PWRCCGHNDXX01,31.536
GLOBAL,PWRCCGHTIXX00,31.536
GLOBAL,PWRCCGHTIXX01,31.536
GLOBAL,PWRCCGJAMXX00,31.536
GLOBAL,PWRCCGJAMXX01,31.536
GLOBAL,PWRCCGMEXXX00,31.536
GLOBAL,PWRCCGMEXXX01,31.536
GLOBAL,PWRCCGNICXX00,31.536
GLOBAL,PWRCCGNICXX01,31.536
GLOBAL,PWRCCGPANXX00,31.536
GLOBAL,PWRCCGPANXX01,31.536
GLOBAL,PWRCCGPERXX00,31.536
GLOBAL,PWRCCGPERXX01,31.536
GLOBAL,PWRCCGPRYXX00,31.536
GLOBAL,PWRCCGPRYXX01,31.536
GLOBAL,PWRCCGSLVXX00,31.536
GLOBAL,PWRCCGSLVXX01,31.536
GLOBAL,PWRCCGURYXX00,31.536
GLOBAL,PWRCCGURYXX01,31.536
GLOBAL,PWRCCSARGXX01,31.536
GLOBAL,PWRCCSBOLXX01,31.536
GLOBAL,PWRCCSBRACN01,31.536
GLOBAL,PWRCCSBRACW01,31.536
GLOBAL,PWRCCSBRANE01,31.536
GLOBAL,PWRCCSBRANW01,31.536
GLOBAL,PWRCCSBRASE01,31.536
GLOBAL,PWRCCSBRASO01,31.536
GLOBAL,PWRCCSBRAWE01,31.536
GLOBAL,PWRCCSCHLXX01,31.536
GLOBAL,PWRCCSCOLXX01,31.536
GLOBAL,PWRCCSCRIXX01,31.536
GLOBAL,PWRCCSDOMXX01,31.536
GLOBAL,PWRCCSECUXX01,31.536
GLOBAL,PWRCCSGTMXX01,31.536
GLOBAL,PWRCCSHNDXX01,31.536
GLOBAL,PWRCCSHTIXX01,31.536
GLOBAL,PWRCCSJAMXX01,31.536
GLOBAL,PWRCCSMEXXX01,31.536
GLOBAL,PWRCCSNICXX01,31.536
GLOBAL,PWRCCSPANXX01,31.536
GLOBAL,PWRCCSPERXX01,31.536
GLOBAL,PWRCCSPRYXX01,31.536
GLOBAL,PWRCCSSLVXX01,31.536
GLOBAL,PWRCCSURYXX01,31.536
GLOBAL,PWRCOAARGXX01,31.536
GLOBAL,PWRCOABOLXX01,31.536
GLOBAL,PWRCOABRACN01,31.536
GLOBAL,PWRCOABRACW01,31.536
GLOBAL,PWRCOABRANE01,31.536
GLOBAL,PWRCOABRANW01,31.536
GLOBAL,PWRCOABRASE01,31.536
GLOBAL,PWRCOABRASO01,31.536
GLOBAL,PWRCOABRAWE01,31.536
GLOBAL,PWRCOACHLXX01,31.536
GLOBAL,PWRCOACOLXX01,31.536
GLOBAL,PWRCOACRIXX01,31.536
GLOBAL,PWRCOADOMXX01,31.536
GLOBAL,PWRCOAECUXX01,31.536
GLOBAL,PWRCOAGTMXX01,31.536
GLOBAL,PWRCOAHNDXX01,31.536
GLOBAL,PWRCOAHTIXX01,31.536
GLOBAL,PWRCOAJAMXX01,31.536
GLOBAL,PWRCOAMEXXX01,31.536
GLOBAL,PWRCOANICXX01,31.536
GLOBAL,PWRCOAPANXX01,31.536
GLOBAL,PWRCOAPERXX01,31.536
GLOBAL,PWRCOAPRYXX01,31.536
GLOBAL,PWRCOASLVXX01,31.536
GLOBAL,PWRCOAURYXX01,31.536
GLOBAL,PWRCOGARGXX01,31.536
GLOBAL,PWRCOGBOLXX01,31.536
GLOBAL,PWRCOGBRACN01,31.536
GLOBAL,PWRCOGBRACW01,31.536
GLOBAL,PWRCOGBRANE01,31.536
GLOBAL,PWRCOGBRANW01,31.536
GLOBAL,PWRCOGBRASE01,31.536
GLOBAL,PWRCOGBRASO01,31.536
GLOBAL,PWRCOGBRAWE01,31.536
GLOBAL,PWRCOGCHLXX01,31.536
GLOBAL,PWRCOGCOLXX01,31.536
GLOBAL,PWRCOGCRIXX01,31.536
GLOBAL,PWRCOGDOMXX01,31.536
GLOBAL,PWRCOGECUXX01,31.536
GLOBAL,PWRCOGGTMXX01,31.536
GLOBAL,PWRCOGHNDXX01,31.536
GLOBAL,PWRCOGHTIXX01,31.536
GLOBAL,PWRCOGJAMXX01,31.536
GLOBAL,PWRCOGMEXXX01,31.536
GLOBAL,PWRCOGNICXX01,31.536
GLOBAL,PWRCOGPANXX01,31.536
GLOBAL,PWRCOGPERXX01,31.536
GLOBAL,PWRCOGPRYXX01,31.536
GLOBAL,PWRCOGSLVXX01,31.536
GLOBAL,PWRCOGURYXX01,31.536
GLOBAL,PWRCSPARGXX01,31.536
GLOBAL,PWRCSPBOLXX01,31.536
GLOBAL,PWRCSPBRACN01,31.536
GLOBAL,PWRCSPBRACW01,31.536
GLOBAL,PWRCSPBRANE01,31.536
GLOBAL,PWRCSPBRANW01,31.536
GLOBAL,PWRCSPBRASE01,31.536
GLOBAL,PWRCSPBRASO01,31.536
GLOBAL,PWRCSPBRAWE01,31.536
GLOBAL,PWRCSPCHLXX01,31.536
GLOBAL,PWRCSPCOLXX01,31.536
GLOBAL,PWRCSPCRIXX01,31.536
GLOBAL,PWRCSPDOMXX01,31.536
GLOBAL,PWRCSPECUXX01,31.536
GLOBAL,PWRCSPGTMXX01,31.536
GLOBAL,PWRCSPHNDXX01,31.536
GLOBAL,PWRCSPHTIXX01,31.536
GLOBAL,PWRCSPJAMXX01,31.536
GLOBAL,PWRCSPMEXXX01,31.536
GLOBAL,PWRCSPNICXX01,31.536
GLOBAL,PWRCSPPANXX01,31.536
GLOBAL,PWRCSPPERXX01,31.536
GLOBAL,PWRCSPPRYXX01,31.536
GLOBAL,PWRCSPSLVXX01,31.536
GLOBAL,PWRCSPURYXX01,31.536
GLOBAL,PWRGEOARGXX01,31.536
GLOBAL,PWRGEOBOLXX01,31.536
GLOBAL,PWRGEOBRACN01,31.536
GLOBAL,PWRGEOBRACW01,31.536
GLOBAL,PWRGEOBRANE01,31.536
GLOBAL,PWRGEOBRANW01,31.536
GLOBAL,PWRGEOBRASE01,31.536
GLOBAL,PWRGEOBRASO01,31.536
GLOBAL,PWRGEOBRAWE01,31.536
GLOBAL,PWRGEOCHLXX01,31.536
GLOBAL,PWRGEOCOLXX01,31.536
GLOBAL,PWRGEOCRIXX01,31.536
GLOBAL,PWRGEODOMXX01,31.536
GLOBAL,PWRGEOECUXX01,31.536
GLOBAL,PWRGEOGTMXX01,31.536
GLOBAL,PWRGEOHNDXX01,31.536
GLOBAL,PWRGEOHTIXX01,31.536
GLOBAL,PWRGEOJAMXX01,31.536
GLOBAL,PWRGEOMEXXX01,31.536
GLOBAL,PWRGEONICXX01,31.536
GLOBAL,PWRGEOPANXX01,31.536
GLOBAL,PWRGEOPERXX01,31.536
GLOBAL,PWRGEOPRYXX01,31.536
GLOBAL,PWRGEOSLVXX01,31.536
GLOBAL,PWRGEOURYXX01,31.536
GLOBAL,PWRHYDARGXX01,31.536
GLOBAL,PWRHYDBOLXX01,31.536
GLOBAL,PWRHYDBRACN01,31.536
GLOBAL,PWRHYDBRACW01,31.536
GLOBAL,PWRHYDBRANE01,31.536
GLOBAL,PWRHYDBRANW01,31.536
GLOBAL,PWRHYDBRASE01,31.536
GLOBAL,PWRHYDBRASO01,31.536
GLOBAL,PWRHYDBRAWE01,31.536
GLOBAL,PWRHYDCHLXX01,31.536
GLOBAL,PWRHYDCOLXX01,31.536
GLOBAL,PWRHYDCRIXX01,31.536
GLOBAL,PWRHYDDOMXX01,31.536
GLOBAL,PWRHYDECUXX01,31.536
GLOBAL,PWRHYDGTMXX01,31.536
GLOBAL,PWRHYDHNDXX01,31.536
GLOBAL,PWRHYDHTIXX01,31.536
GLOBAL,PWRHYDJAMXX01,31.536
GLOBAL,PWRHYDMEXXX01,31.536
GLOBAL,PWRHYDNICXX01,31.536
GLOBAL,PWRHYDPANXX01,31.536
GLOBAL,PWRHYDPERXX01,31.536
GLOBAL,PWRHYDPRYXX01,31.536
GLOBAL,PWRHYDSLVXX01,31.536
GLOBAL,PWRHYDURYXX01,31.536
GLOBAL,PWRLDSARGXX01,31.536
GLOBAL,PWRLDSBOLXX01,31.536
GLOBAL,PWRLDSBRACN01,31.536
GLOBAL,PWRLDSBRACW01,31.536
GLOBAL,PWRLDSBRANE01,31.536
GLOBAL,PWRLDSBRANW01,31.536
GLOBAL,PWRLDSBRASE01,31.536
GLOBAL,PWRLDSBRASO01,31.536
GLOBAL,PWRLDSBRAWE01,31.536
GLOBAL,PWRLDSCHLXX01,31.536
GLOBAL,PWRLDSCOLXX01,31.536
GLOBAL,PWRLDSCRIXX01,31.536
GLOBAL,PWRLDSDOMXX01,31.536
GLOBAL,PWRLDSECUXX01,31.536
GLOBAL,PWRLDSGTMXX01,31.536
GLOBAL,PWRLDSHNDXX01,31.536
GLOBAL,PWRLDSHTIXX01,31.536
GLOBAL,PWRLDSJAMXX01,31.536
GLOBAL,PWRLDSMEXXX01,31.536
GLOBAL,PWRLDSNICXX01,31.536
GLOBAL,PWRLDSPANXX01,31.536
GLOBAL,PWRLDSPERXX01,31.536
GLOBAL,PWRLDSPRYXX01,31.536
GLOBAL,PWRLDSSLVXX01,31.536
GLOBAL,PWRLDSURYXX01,31.536
GLOBAL,PWROCGARGXX00,31.536
GLOBAL,PWROCGARGXX01,31.536
GLOBAL,PWROCGBOLXX00,31.536
GLOBAL,PWROCGBOLXX01,31.536
GLOBAL,PWROCGBRACN00,31.536
GLOBAL,PWROCGBRACN01,31.536
GLOBAL,PWROCGBRACW00,31.536
GLOBAL,PWROCGBRACW01,31.536
GLOBAL,PWROCGBRANE00,31.536
GLOBAL,PWROCGBRANE01,31.536
GLOBAL,PWROCGBRANW00,31.536
GLOBAL,PWROCGBRANW01,31.536
GLOBAL,PWROCGBRASE00,31.536
GLOBAL,PWROCGBRASE01,31.536
GLOBAL,PWROCGBRASO00,31.536
GLOBAL,PWROCGBRASO01,31.536
GLOBAL,PWROCGBRAWE00,31.536
GLOBAL,PWROCGBRAWE01,31.536
GLOBAL,PWROCGCHLXX00,31.536
GLOBAL,PWROCGCHLXX01,31.536
GLOBAL,PWROCGCOLXX00,31.536
GLOBAL,PWROCGCOLXX01,31.536
GLOBAL,PWROCGCRIXX00,31.536
GLOBAL,PWROCGCRIXX01,31.536
GLOBAL,PWROCGDOMXX00,31.536
GLOBAL,PWROCGDOMXX01,31.536
GLOBAL,PWROCGECUXX00,31.536
GLOBAL,PWROCGECUXX01,31.536
GLOBAL,PWROCGGTMXX00,31.536
GLOBAL,PWROCGGTMXX01,31.536
GLOBAL,PWROCGHNDXX00,31.536
GLOBAL,PWROCGHNDXX01,31.536
GLOBAL,PWROCGHTIXX00,31.536
GLOBAL,PWROCGHTIXX01,31.536
GLOBAL,PWROCGJAMXX00,31.536
GLOBAL,PWROCGJAMXX01,31.536
GLOBAL,PWROCGMEXXX00,31.536
GLOBAL,PWROCGMEXXX01,31.536
GLOBAL,PWROCGNICXX00,31.536
GLOBAL,PWROCGNICXX01,31.536
GLOBAL,PWROCGPANXX00,31.536
GLOBAL,PWROCGPANXX01,31.536
GLOBAL,PWROCGPERXX00,31.536
GLOBAL,PWROCGPERXX01,31.536
GLOBAL,PWROCGPRYXX00,31.536
GLOBAL,PWROCGPRYXX01,31.536
GLOBAL,PWROCGSLVXX00,31.536
GLOBAL,PWROCGSLVXX01,31.536
GLOBAL,PWROCGURYXX00,31.536
GLOBAL,PWROCGURYXX01,31.536
GLOBAL,PWROILARGXX01,31.536
GLOBAL,PWROILBOLXX01,31.536
GLOBAL,PWROILBRACN01,31.536
GLOBAL,PWROILBRACW01,31.536
GLOBAL,PWROILBRANE01,31.536
GLOBAL,PWROILBRANW01,31.536
GLOBAL,PWROILBRASE01,31.536
GLOBAL,PWROILBRASO01,31.536
GLOBAL,PWROILBRAWE01,31.536
GLOBAL,PWROILCHLXX01,31.536
GLOBAL,PWROILCOLXX01,31.536
GLOBAL,PWROILCRIXX01,31.536
GLOBAL,PWROILDOMXX01,31.536
GLOBAL,PWROILECUXX01,31.536
GLOBAL,PWROILGTMXX01,31.536
GLOBAL,PWROILHNDXX01,31.536
GLOBAL,PWROILHTIXX01,31.536
GLOBAL,PWROILJAMXX01,31.536
GLOBAL,PWROILMEXXX01,31.536
GLOBAL,PWROILNICXX01,31.536
GLOBAL,PWROILPANXX01,31.536
