PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2023,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2024,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2025,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2026,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2027,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2028,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2029,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2030,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2031,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2032,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2033,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2034,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2035,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2036,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2037,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2038,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2039,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2040,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2041,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2042,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2043,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2044,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2045,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2046,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2047,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2048,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2049,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2050,S1D1,,,,,0.0822
YearSplit,BAU,,,,,,2023,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2024,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2025,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2026,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2027,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2028,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2029,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2030,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2031,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2032,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2033,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2034,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2035,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2036,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2037,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2038,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2039,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2040,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2041,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2042,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2043,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2044,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2045,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2046,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2047,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2048,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2049,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2050,S1D2,,,,,0.0616
YearSplit,BAU,,,,,,2023,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2024,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2025,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2026,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2027,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2028,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2029,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2030,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2031,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2032,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2033,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2034,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2035,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2036,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2037,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2038,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2039,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2040,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2041,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2042,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2043,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2044,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2045,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2046,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2047,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2048,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2049,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2050,S1D3,,,,,0.1027
YearSplit,BAU,,,,,,2023,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2024,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2025,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2026,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2027,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2028,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2029,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2030,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2031,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2032,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2033,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2034,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2035,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2036,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2037,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2038,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2039,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2040,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2041,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2042,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2043,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2044,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2045,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2046,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2047,S2D1,,,,,0.0831
YearSplit,BAU,,,,,,2048,S2D1,,,,,0.0831
