PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2023,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2024,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2025,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2026,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2027,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2028,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2029,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2030,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2031,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2032,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2033,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2034,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2035,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2036,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2037,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2038,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2039,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2040,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2041,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2042,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2043,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2044,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2045,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2046,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2047,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2048,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2049,,,,,,2066.67
CapitalCost,BAU,GLOBAL,PWRCOAMEXXX01,,,,2050,,,,,,2066.67
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2023,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2024,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2025,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2026,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2027,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2028,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2029,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2030,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2031,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2032,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2033,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2034,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2035,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2036,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2037,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2038,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2039,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2040,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2041,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2042,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2043,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2044,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2045,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2046,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2047,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2048,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2049,,,,,,681.879
CapitalCost,BAU,GLOBAL,TRNBOLXXPERXX,,,,2050,,,,,,681.879
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2023,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2024,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2025,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2026,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2027,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2028,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2029,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2030,,,,,,2100.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2031,,,,,,2105.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2032,,,,,,2110.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2033,,,,,,2115.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2034,,,,,,2120.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2035,,,,,,2125.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2036,,,,,,2130.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2037,,,,,,2135.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2038,,,,,,2140.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2039,,,,,,2145.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2040,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2041,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2042,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2043,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2044,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2045,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2046,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2047,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2048,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2049,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRHYDURYXX01,,,,2050,,,,,,2150.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2023,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2024,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2025,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2026,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2027,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2028,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2029,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2030,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2031,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2032,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2033,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2034,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2035,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2036,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2037,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2038,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2039,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2040,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2041,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2042,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2043,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2044,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2045,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2046,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2047,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2048,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2049,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGDOMXX00,,,,2050,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2023,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2024,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2025,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2026,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2027,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2028,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2029,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2030,,,,,,4200.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2031,,,,,,4140.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2032,,,,,,4080.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2033,,,,,,4020.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2034,,,,,,3960.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2035,,,,,,3900.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2036,,,,,,3840.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2037,,,,,,3780.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2038,,,,,,3720.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2039,,,,,,3660.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2040,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2041,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2042,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2043,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2044,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2045,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2046,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2047,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2048,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2049,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWRCSPARGXX01,,,,2050,,,,,,3600.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2023,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2024,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2025,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2026,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2027,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2028,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2029,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2030,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2031,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2032,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2033,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2034,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2035,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2036,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2037,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2038,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2039,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2040,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2041,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2042,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2043,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2044,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2045,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2046,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2047,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2048,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2049,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGDOMXX01,,,,2050,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2023,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2024,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2025,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2026,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2027,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2028,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2029,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2030,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2031,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2032,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2033,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2034,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2035,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2036,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2037,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2038,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2039,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2040,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2041,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2042,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2043,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2044,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2045,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2046,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2047,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2048,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2049,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRHYDHTIXX01,,,,2050,,,,,,2700.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2023,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2024,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2025,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2026,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2027,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2028,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2029,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2030,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2031,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2032,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2033,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2034,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2035,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2036,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2037,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2038,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2039,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2040,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2041,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2042,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2043,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2044,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2045,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2046,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2047,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2048,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2049,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKPRYXX,,,,2050,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2023,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2024,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2025,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2026,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2027,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2028,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2029,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2030,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2031,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2032,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2033,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2034,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2035,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2036,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2037,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2038,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2039,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2040,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2041,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2042,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2043,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2044,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2045,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2046,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2047,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2048,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2049,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWRBCKSLVXX,,,,2050,,,,,,999999.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2023,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2024,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2025,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2026,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2027,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2028,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2029,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2030,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2031,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2032,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2033,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2034,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2035,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2036,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2037,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2038,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2039,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2040,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2041,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2042,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2043,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2044,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2045,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2046,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2047,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2048,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2049,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWROCGHTIXX00,,,,2050,,,,,,500.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2023,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2024,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2025,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2026,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2027,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2028,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2029,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2030,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2031,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2032,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2033,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2034,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2035,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2036,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2037,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2038,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2039,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2040,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2041,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2042,,,,,,1000.0
CapitalCost,BAU,GLOBAL,PWRCCGHNDXX01,,,,2043,,,,,,1000.0
